,State,RecidivismRate,PercentMale,PercentFemale,PercentAsian,PercentWhite,PercentBlack,PercentNativeAmerican,PercentOfPopInPrison,TotalViolentCrimes,TotalNonviolentCrimes,OtherCrimes,AverageQOLScore,PopulationDensity
0,Florida,24.5,0.745972859061646,0.254027140938354,0.00701218100134315,0.605321661803529,0.378898615163726,0.00220462229632717,0.00359918818135123,52122,70098,94025,16.8,432
1,New York,43,0.769913797291389,0.230086202708611,0.0342192906224192,0.379874879224446,0.389601697065222,0.00474735643227663,0.00156534010145743,137983,203102,52177,20.4,420
2,Pennsylvania,46,0.713021580490239,0.286978419509761,0.0113983658703923,0.676752635189921,0.305736605750639,0.00108370236387451,0.0030038036506697,62782,189069,38306,21.6,291
3,Illinois,39.9,0.730836345877827,0.269163654122173,0.0116074778600313,0.573929926329143,0.39481504862753,0.00119112138122435,0.00232703637515757,47871,67703,52658,24.0,228
4,Ohio,30.7,0.672243737305349,0.327756262694651,0.00508056872037915,0.59690182802979,0.358678402166554,0.000888287068381855,0.0037642729665083,51037,86474,47979,28.4,290
5,North Carolina,35.8,0.715921117162696,0.284078882837304,0.00700807929583645,0.516541476299872,0.447858857541106,0.018322535126438,0.00273980936489003,43261,85385,104222,23.6,226
6,Michigan,28,0.715996883001225,0.284003116998775,0.00483691417121229,0.579516865189803,0.374674384949349,0.00858287877101191,0.00317806126921868,53316,66987,59472,26.4,179
7,New Jersey,30,0.757638647040846,0.242361352959154,0.0174485959388482,0.564730381879047,0.404800318410223,0.00209667446108359,0.00136114122829629,36047,68751,45096,20.0,1280
8,Virginia,23.4,0.714472510589015,0.285527489410985,0.0116374096956621,0.573291864554,0.401598042374741,0.000803224104194978,0.00307018514514774,48025,81263,85196,17.0,222
9,Washington,32,0.739467786720038,0.260532213279962,0.0356523700122623,0.73577499330505,0.137605885918054,0.037491719404079,0.00168040933982393,40376,60495,41253,22.4,119
10,Arizona,39.8,0.722997202471704,0.277002797528296,0.00781313080938336,0.711393872035641,0.142963670129142,0.126582218359195,0.00442921381982237,47328,123964,61060,27.8,66
11,Massachusetts,32,0.736631135793622,0.263368864206378,0.01601128627732,0.72805446076675,0.212681386599785,0.00131001433178072,0.00086741194962957,28389,28661,32315,13.0,910
12,Indiana,34,0.712495738152063,0.287504261847937,0.00877940675076713,0.643546787341537,0.322931841428261,0.00110808046368906,0.00335876319181431,26454,55604,47144,28.0,193
13,Maryland,40.5,0.745458596936551,0.254541403063449,0.010918744005348,0.445275487565033,0.525368883032834,0.00105602759235397,0.00244554717860781,27885,38789,37746,25.0,640
14,Missouri,43,0.695816624803537,0.304183375196463,0.00430382349917008,0.663552637377165,0.318989703139,0.00139543765331453,0.00378002217928974,31467,62863,41935,27.4,90
15,Wisconsin,38,0.694171090189159,0.305828909810841,0.0133136619668325,0.675620180388459,0.253045766346753,0.032741671356361,0.00354841280159705,31673,112002,58823,18.2,109
16,Colorado,50,0.72041359717981,0.27958640282019,0.0104721977813433,0.848828850588594,0.124631230267584,0.0144920035194866,0.00281041035213973,32377,65311,76403,22.2,57
17,Minnesota,25,0.719861876399204,0.280138123600796,0.0205037546158231,0.479211241542821,0.258576963428638,0.0453693071515312,0.00135470316585913,23454,65659,31958,17.0,72
18,South Carolina,24.5,0.745428917953257,0.254571082046743,0.00449732848198774,0.542918018815354,0.443137640541515,0.00277313403481168,0.00257354169164919,32970,78510,41190,31.8,181
19,Alabama,31.5,0.715752734599885,0.284247265400115,0.0022524467472654,0.56029792746114,0.423200921128382,0.00159758203799655,0.0050972342511651,18640,51274,69302,32.2,101
20,Louisiana,32,0.717271339673594,0.282728660326406,0.00292552150600759,0.403956792297757,0.578910805839302,0.00203514539548354,0.00593052238708583,34600,51162,17726,37.0,105
21,Kentucky,46.4,0.715142241980822,0.284857758019178,0.0023025856741293,0.801583899842507,0.180389146946831,0.000742608799665078,0.00432855051857173,17262,51644,131756,34.0,115
22,Oklahoma,25,0.703258221680877,0.296741778319123,0.0100018738873794,0.63333879883819,0.228145788438115,0.108216996158531,0.00558456783024242,18843,40106,26473,34.8,59
23,Connecticut,37,0.717535079704908,0.282464920295092,0.00748639766544393,0.640734730612412,0.327792399056359,0.00497729535134251,0.00274498247515897,18986,31063,23406,26.4,758
24,Nevada,28.6,0.717308249438691,0.282691750561309,0.0250959658144419,0.624583544578837,0.31220576519157,0.0139150430940827,0.00315657357824884,33913,41883,35051,30.4,29
25,Iowa,34.2,0.711820523604248,0.288179476395752,0.014299232467669,0.732875091998738,0.220665545158238,0.0105667122279466,0.00288293524455435,15692,35377,25112,20.8,58
26,Arkansas,57,0.689263884955186,0.310736115044814,0.00674262012005153,0.642476679487999,0.324294446017926,0.00230235808977369,0.00564443065788443,20165,39668,49686,35.2,59
27,Kansas,36,0.707058588282344,0.292941411717656,0.00922672608335476,0.770374496529266,0.211014939869169,0.00938383751821064,0.0028378048115435,15634,31907,22500,24.6,36
28,Mississippi,33,0.714920317618968,0.285079682381032,0.00264682473578026,0.412275343809577,0.557480518999759,0.00553426990208599,0.00659147243756042,6842,30064,17148,37.8,62
29,New Mexico,49.1,0.715802930474973,0.284197069525027,0.00344183302192939,0.693440849641066,0.0551283312026748,0.196204149867244,0.00254147858285577,15239,20374,15279,36.8,17
30,Nebraska,25.5,0.697227876524038,0.302772123475962,0.0145426311040228,0.724130694814597,0.193188256772921,0.049293853482467,0.00277092843804305,8352,27540,11858,25.6,26
31,Idaho,31,0.697410850666616,0.302589149333384,0.0107488355428162,0.84474532802806,0.0303796036131174,0.0432027758396349,0.00456530438609945,7278,26250,19589,15.8,24
32,West Virginia,24,0.721812890842672,0.278187109157328,0.00195034363197325,0.732895795925949,0.106556869543682,0.000804903721131818,0.0026277147920964,6386,14497,11440,31.0,73
33,New Hampshire,45,0.683842001175905,0.316157998824095,0.00769683040248009,0.912502004382917,0.0680421187663691,0.000721577850232508,0.00145560924095407,5252,13867,18315,18.8,157
34,Maine,31,0.699702380952381,0.300297619047619,0.00488095238095238,0.865238095238095,0.0707440476190476,0.00678571428571429,0.00117579066940354,5956,14822,12831,17.8,45
35,Montana,42.2,0.667721093013865,0.332278906986135,0.00487952618118185,0.637669942118724,0.0286377708978328,0.307612060842644,0.003842660211232,7542,15542,6649,23.2,7
36,Rhode Island,50,0.732734658969425,0.267265341030575,0.0132991233696814,0.723540731237973,0.255206328843276,0.00205259781911482,0.00208125806880828,5771,9935,7706,29.0,1075
37,Delaware,64.5,0.693515123739688,0.306484876260312,0.00473571646807211,0.494844179651696,0.494424075771463,0.000534677665750076,0.00474942414658191,8846,10952,6401,27.4,538
38,South Dakota,40,0.682059971687186,0.317940028312814,0.00504053880142422,0.368002230706533,0.0584916991978036,0.473360216206941,0.00367807291041443,7145,21108,18395,25.0,12
39,North Dakota,46,0.685036688442367,0.314963311557633,0.00634694572587387,0.623889284497972,0.112325458992538,0.235053716833339,0.00221826636269597,5169,17156,10070,24.0,11
40,Alaska,63.2,0.719412039197387,0.280587960802613,0.0406906206252916,0.487960802613159,0.067848810079328,0.378254783014466,0.00619753476739991,6762,8804,6684,37.8,1
41,Vermont,45,0.72066128531512,0.27933871468488,0.00814964296802235,0.903989444271965,0.0740453275380317,0.00294939459795095,0.0020971699000606,2669,6044,4174,20.8,70
42,Wyoming,28,0.690347043024909,0.309652956975091,0.00363368265838117,0.828584970245932,0.0427089367528569,0.122333982832166,0.00384943960191825,2552,10872,5582,19.6,6
