State, Recidivism Rate, Prison Population, Imprisonment Rate, 
Alabama, 31.5, 26290, 521.64, 
Alaska, 63.2, 4587, 626.06, 
Arizona, 39.8, 33584, 461.55, 
Arkansas, 57, 17432, 576.09, 
Colorado, 50, 16743, 288.07, 
Connecticut, 37, 10088, 279.79, 
Delaware, 64.5, 4996, 497.92, 
Florida, 24.5, 84121, 386.21, 
Idaho, 31, 9138, 480.71, 
Illinois, 39.9, 29577, 233.41, 
Indiana, 34, 23257, 341.71, 
Iowa, 34.2, 9345, 292.66, 
Kansas, 36, 8430, 287.26, 
Kentucky, 46.4, 19861, 440.44, 
Louisiana, 32, 27267, 589.68, 
Maine, 31, 1652, 120.39, 
Maryland, 40.5, 15317, 248.45, 
Massachusetts, 32, 6190, 88.62, 
Michigan, 28, 32227, 320.64, 
Minnesota, 25, 7848, 137.51, 
Mississippi, 33, 19399, 657.60, 
Missouri, 43, 23608, 382.74, 
Montana, 42.2, 4370, 395.74, 
Nebraska, 25.5, 5557, 282.99, 
Nevada, 28.6, 10314, 328.05, 
New Hampshire, 45, 2051, 147.66, 
New Jersey, 30, 12932, 139.55, 
New Mexico, 49.1, 5414, 255.87, 
New York, 43, 31099, 156.78, 
North Carolina, 35.8, 30264, 286.83, 
North Dakota, 46, 1767, 228.02, 
Ohio, 30.7, 44732, 379.73, 
Oklahoma, 25, 22871, 573.69, 
Pennsylvania, 46, 39286, 303.04, 
Rhode Island, 50, 2315, 211.30, 
South Carolina, 24.5, 14100, 271.64, 
South Dakota, 40, 3401, 379.84, 
Vermont, 45, 1360, 210.67, 
Virginia, 23.4, 27052, 313.02, 
Washington, 32, 13373, 172.81, 
West Virginia, 24, 4651, 260.86, 
Wisconsin, 38, 21152, 358.76, 
Wyoming, 28, 2262, 390.81, 
, 